epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
148,18419.2,0.14513,0.44876,0.93826,0.99972,0.99976,0.995,0.99499,0.28963,0.2006,0.40102,0.0070894,0.0070894,0.0070894
149,18664.7,0.14681,0.45476,0.93816,0.99973,0.99976,0.995,0.99499,0.28646,0.20196,0.39524,0.0070696,0.0070696,0.0070696
150,18910.3,0.14895,0.45774,0.93978,0.99973,0.99978,0.995,0.99499,0.28668,0.2079,0.39362,0.0070498,0.0070498,0.0070498
151,19156,0.14701,0.45523,0.93825,0.99972,0.9998,0.995,0.99499,0.28766,0.21609,0.39318,0.00703,0.00703,0.00703
152,19401.6,0.14655,0.45177,0.93913,0.99973,0.99979,0.995,0.99499,0.29125,0.22584,0.39611,0.0070102,0.0070102,0.0070102
153,19647.1,0.14689,0.45336,0.93895,0.99973,0.99979,0.995,0.99499,0.29276,0.23325,0.39585,0.0069904,0.0069904,0.0069904
154,19892.9,0.1479,0.45821,0.93499,0.99973,0.99978,0.995,0.99499,0.28998,0.23595,0.39306,0.0069706,0.0069706,0.0069706
155,20138.7,0.14682,0.45001,0.93714,0.99973,0.99978,0.995,0.995,0.28792,0.23711,0.39092,0.0069508,0.0069508,0.0069508
156,20384.6,0.14319,0.44487,0.93685,0.99973,0.99979,0.995,0.995,0.28617,0.24257,0.39031,0.006931,0.006931,0.006931
157,20630.5,0.14388,0.44299,0.93556,0.99973,0.99979,0.995,0.995,0.28999,0.25206,0.39411,0.0069112,0.0069112,0.0069112
158,20876.4,0.14476,0.45013,0.93707,0.99972,0.9998,0.995,0.995,0.29204,0.26102,0.39813,0.0068914,0.0068914,0.0068914
159,21122.3,0.14505,0.44649,0.93479,0.99972,0.99981,0.995,0.995,0.28908,0.26355,0.39587,0.0068716,0.0068716,0.0068716
160,21368.2,0.14614,0.44616,0.9354,0.99973,0.9998,0.995,0.995,0.28605,0.26104,0.39276,0.0068518,0.0068518,0.0068518
161,21614,0.14491,0.4443,0.9347,0.99973,0.9998,0.995,0.995,0.28572,0.26206,0.39194,0.006832,0.006832,0.006832
162,21859.8,0.145,0.44728,0.93969,0.99973,0.9998,0.995,0.995,0.28548,0.26341,0.39222,0.0068122,0.0068122,0.0068122
163,22105.7,0.14538,0.44916,0.93581,0.99972,0.99981,0.995,0.995,0.28705,0.26708,0.39357,0.0067924,0.0067924,0.0067924
164,22351.5,0.14465,0.4489,0.9386,0.99973,0.99982,0.995,0.995,0.28735,0.26832,0.39331,0.0067726,0.0067726,0.0067726
165,22597.3,0.1459,0.45216,0.93892,0.99973,0.99981,0.995,0.995,0.28641,0.2685,0.39155,0.0067528,0.0067528,0.0067528
166,22843.2,0.14299,0.44232,0.93743,0.99973,0.99981,0.995,0.995,0.28754,0.26954,0.39322,0.006733,0.006733,0.006733
167,23089.2,0.14012,0.4443,0.93615,0.99974,0.99981,0.995,0.995,0.28579,0.26776,0.39147,0.0067132,0.0067132,0.0067132
168,23335.2,0.14247,0.4456,0.93697,0.99974,0.99981,0.995,0.995,0.28501,0.26718,0.39131,0.0066934,0.0066934,0.0066934
169,23581.1,0.13992,0.44219,0.93556,0.99973,0.99981,0.995,0.995,0.28677,0.27107,0.3949,0.0066736,0.0066736,0.0066736
170,23827.1,0.14196,0.43748,0.93607,0.99973,0.99981,0.995,0.995,0.28549,0.26953,0.39401,0.0066538,0.0066538,0.0066538
171,24073.2,0.14172,0.43581,0.93601,0.99974,0.99979,0.995,0.995,0.28387,0.26832,0.39217,0.006634,0.006634,0.006634
172,24319.3,0.14096,0.4395,0.93588,0.99973,0.99979,0.995,0.995,0.28131,0.26456,0.38811,0.0066142,0.0066142,0.0066142
173,24565.2,0.13995,0.43476,0.93365,0.99973,0.99978,0.995,0.995,0.27828,0.26252,0.38413,0.0065944,0.0065944,0.0065944
174,24811.2,0.14226,0.44248,0.93455,0.99973,0.99976,0.995,0.995,0.27444,0.26108,0.37891,0.0065746,0.0065746,0.0065746
175,25057.5,0.14159,0.43703,0.93518,0.99974,0.99974,0.995,0.995,0.27363,0.25845,0.37906,0.0065548,0.0065548,0.0065548
176,25303.5,0.14013,0.43921,0.93615,0.99974,0.99974,0.995,0.995,0.27215,0.25589,0.37687,0.006535,0.006535,0.006535
177,25549.5,0.1382,0.43479,0.93392,0.99973,0.99975,0.995,0.995,0.27005,0.25291,0.3739,0.0065152,0.0065152,0.0065152
178,25795.5,0.14192,0.43355,0.93631,0.99973,0.99975,0.995,0.995,0.27155,0.25398,0.37593,0.0064954,0.0064954,0.0064954
179,26041.4,inf,0.43497,0.93524,0.99973,0.99976,0.995,0.995,0.27307,0.25622,0.37844,0.0064756,0.0064756,0.0064756
180,26287.3,0.13976,0.43082,0.93573,0.99974,0.99976,0.995,0.995,0.26857,0.25347,0.37263,0.0064558,0.0064558,0.0064558
181,26533.2,0.13911,0.4343,0.93579,0.99974,0.99976,0.995,0.995,0.26753,0.25394,0.37082,0.006436,0.006436,0.006436
182,26779.1,0.1389,0.43541,0.93574,0.99975,0.99977,0.995,0.995,0.26454,0.25159,0.3664,0.0064162,0.0064162,0.0064162
183,27024.9,0.13961,0.4332,0.93477,0.99975,0.99978,0.995,0.995,0.26273,0.25233,0.36494,0.0063964,0.0063964,0.0063964
184,27270.8,0.13855,0.43322,0.93436,0.99976,0.99978,0.995,0.995,0.26142,0.25102,0.36329,0.0063766,0.0063766,0.0063766
185,27516.8,0.13988,0.42997,0.9333,0.99975,0.99978,0.995,0.995,0.2623,0.24982,0.36464,0.0063568,0.0063568,0.0063568
